Image Dimensions: Width=4000, Height=2250
Palm Tree Positions (X, Y):
137.50, 921.50
267.50, 921.50
333.50, 1047.50
209.50, 1119.50
307.50, 1203.50
499.50, 1003.50
473.50, 729.50
537.50, 571.50
573.50, 849.50
583.50, 1127.50
729.50, 1083.50
511.50, 1415.50
609.50, 1391.50
747.50, 1359.50
861.50, 1011.50
705.50, 825.50
771.50, 679.50
849.50, 507.50
993.50, 469.50
909.50, 613.50
1059.50, 607.50
1011.50, 775.50
943.50, 895.50
1135.50, 721.50
1121.50, 903.50
1239.50, 841.50
1165.50, 457.50
1289.50, 417.50
1349.50, 541.50
1239.50, 601.50
1325.50, 681.50
1449.50, 673.50
1403.50, 805.50
1343.50, 959.50
1469.50, 933.50
1523.50, 781.50
1587.50, 619.50
1623.50, 901.50
1667.50, 735.50
1743.50, 589.50
1661.50, 475.50
1827.50, 451.50
1899.50, 553.50
1817.50, 723.50
1763.50, 865.50
1921.50, 817.50
1973.50, 669.50
2033.50, 537.50
2067.50, 799.50
2015.50, 993.50
1853.50, 967.50
1805.50, 1123.50
1487.50, 1201.50
1035.50, 1271.50
983.50, 1437.50
911.50, 1563.50
887.50, 1741.50
1045.50, 1557.50
1109.50, 1419.50
1267.50, 1379.50
1221.50, 1515.50
1159.50, 1671.50
1229.50, 1799.50
1371.50, 1749.50
1437.50, 1611.50
1373.50, 1503.50
1323.50, 1209.50
1721.50, 1281.50
1793.50, 1405.50
1715.50, 1539.50
1665.50, 1699.50
1523.50, 1729.50
1829.50, 1659.50
1873.50, 1529.50
1957.50, 1345.50
1875.50, 1233.50
2007.50, 1203.50
2141.50, 1145.50
2041.50, 1473.50
2191.50, 1449.50
2267.50, 1569.50
2335.50, 1687.50
2221.50, 1301.50
2389.50, 1263.50
2505.50, 1191.50
2245.50, 1027.50
2287.50, 873.50
2379.50, 1001.50
2427.50, 877.50
2263.50, 571.50
2399.50, 529.50
2443.50, 609.50
2515.50, 711.50
2565.50, 553.50
2659.50, 673.50
2775.50, 643.50
2947.50, 619.50
3097.50, 589.50
2737.50, 793.50
2577.50, 823.50
2525.50, 967.50
2685.50, 933.50
2599.50, 1085.50
2887.50, 747.50
2937.50, 853.50
3013.50, 947.50
2973.50, 1103.50
2725.50, 1541.50
2667.50, 1659.50
2597.50, 1755.50
3051.50, 1533.50
3151.50, 1387.50
3219.50, 1231.50
3303.50, 1101.50
3267.50, 805.50
3433.50, 1059.50
3525.50, 917.50
3603.50, 1009.50
3387.50, 1199.50
3477.50, 1327.50
3381.50, 1461.50
3339.50, 1611.50
3259.50, 1753.50
3337.50, 1869.50
3403.50, 1727.50
3489.50, 1587.50
3529.50, 1431.50
3711.50, 1409.50
3603.50, 1807.50
3567.50, 1925.50
3781.50, 1757.50
3777.50, 1249.50
3849.50, 1395.50
3795.50, 2043.50
3931.50, 1487.50
